2026-07-01 14:39:10 [INFO] START | dry_run=False resume=False filter=None
2026-07-01 14:39:10 [INFO] [0] Memeriksa koneksi database
2026-07-01 14:39:10 [INFO] Terhubung ke 'fkp_db' @ localhost:5432
2026-07-01 14:39:10 [INFO] Semua tabel ditemukan: provinsi, kabupaten_kota, kecamatan, kelurahan
2026-07-01 14:39:10 [INFO] [0b] Memeriksa koneksi API
2026-07-01 14:39:13 [INFO] API OK — 38 provinsi tersedia
2026-07-01 14:39:13 [INFO] [1] Membuka koneksi PostgreSQL
2026-07-01 14:39:13 [INFO] Koneksi berhasil
2026-07-01 14:39:13 [INFO] [2] Membersihkan tabel
2026-07-01 14:39:13 [INFO] Semua tabel dikosongkan
2026-07-01 14:39:13 [INFO] [3] Memulai proses (38 provinsi)
2026-07-01 14:39:13 [INFO] PROVINSI [11] Aceh
2026-07-01 14:39:15 [INFO]   KAB [1101] Kabupaten Aceh Selatan
2026-07-01 14:39:16 [INFO]     KEC [110101] Bakongan
2026-07-01 14:39:17 [INFO]       7 kelurahan di Bakongan
2026-07-01 14:39:17 [INFO]     KEC [110102] Kluet Utara
2026-07-01 14:39:17 [INFO]       21 kelurahan di Kluet Utara
2026-07-01 14:39:17 [INFO]     KEC [110103] Kluet Selatan
2026-07-01 14:39:18 [INFO]       17 kelurahan di Kluet Selatan
2026-07-01 14:39:18 [INFO]     KEC [110104] Labuhanhaji
2026-07-01 14:39:19 [INFO]       16 kelurahan di Labuhanhaji
2026-07-01 14:39:19 [INFO]     KEC [110105] Meukek
2026-07-01 14:39:20 [INFO]       23 kelurahan di Meukek
2026-07-01 14:39:20 [INFO]     KEC [110106] Samadua
2026-07-01 14:39:21 [INFO]       28 kelurahan di Samadua
2026-07-01 14:39:21 [INFO]     KEC [110107] Sawang
2026-07-01 14:39:22 [INFO]       15 kelurahan di Sawang
2026-07-01 14:39:22 [INFO]     KEC [110108] Tapaktuan
2026-07-01 14:39:23 [INFO]       16 kelurahan di Tapaktuan
2026-07-01 14:39:23 [INFO]     KEC [110109] Trumon
2026-07-01 14:39:23 [INFO]       12 kelurahan di Trumon
2026-07-01 14:39:23 [INFO]     KEC [110110] Pasie Raja
2026-07-01 14:39:24 [INFO]       21 kelurahan di Pasie Raja
2026-07-01 14:39:24 [INFO]     KEC [110111] Labuhanhaji Timur
2026-07-01 14:39:25 [INFO]       12 kelurahan di Labuhanhaji Timur
2026-07-01 14:39:25 [INFO]     KEC [110112] Labuhanhaji Barat
